Extension,Category,Description,HexSignature,Offset,RiskLevel
ext_212,Audio,Custom Enterprise Extended Type Variation Signature Profile 212,CC D9 E6 F3 00 0D,0,High
ext_213,Video,Custom Enterprise Extended Type Variation Signature Profile 213,D3 E0 ED FA 07 14 21,0,Low
ext_214,Document,Custom Enterprise Extended Type Variation Signature Profile 214,DA E7 F4 01 0E 1B 28 35,0,Medium
ext_215,Archive,Custom Enterprise Extended Type Variation Signature Profile 215,E1 EE FB 08,257,High
ext_216,System,Custom Enterprise Extended Type Variation Signature Profile 216,E8 F5 02 0F 1C,0,Low
ext_217,Database,Custom Enterprise Extended Type Variation Signature Profile 217,EF FC 09 16 23 30,0,Medium
ext_218,Network,Custom Enterprise Extended Type Variation Signature Profile 218,F6 03 10 1D 2A 37 44,0,High
ext_219,Font,Custom Enterprise Extended Type Variation Signature Profile 219,FD 0A 17 24 31 3E 4B 58,0,Low
ext_220,Security,Custom Enterprise Extended Type Variation Signature Profile 220,04 11 1E 2B,0,Medium
ext_221,Script,Custom Enterprise Extended Type Variation Signature Profile 221,0B 18 25 32 3F,0,High
ext_222,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 222,12 1F 2C 39 46 53,0,Low
ext_223,Web,Custom Enterprise Extended Type Variation Signature Profile 223,19 26 33 40 4D 5A 67,0,Medium
ext_224,Data,Custom Enterprise Extended Type Variation Signature Profile 224,20 2D 3A 47 54 61 6E 7B,0,High
ext_225,Executable,Custom Enterprise Extended Type Variation Signature Profile 225,27 34 41 4E,0,Low
ext_226,Image,Custom Enterprise Extended Type Variation Signature Profile 226,2E 3B 48 55 62,0,Medium
ext_227,Audio,Custom Enterprise Extended Type Variation Signature Profile 227,35 42 4F 5C 69 76,0,High
ext_228,Video,Custom Enterprise Extended Type Variation Signature Profile 228,3C 49 56 63 70 7D 8A,0,Low
ext_229,Document,Custom Enterprise Extended Type Variation Signature Profile 229,43 50 5D 6A 77 84 91 9E,0,Medium
ext_230,Archive,Custom Enterprise Extended Type Variation Signature Profile 230,4A 57 64 71,257,High
ext_231,System,Custom Enterprise Extended Type Variation Signature Profile 231,51 5E 6B 78 85,0,Low
ext_232,Database,Custom Enterprise Extended Type Variation Signature Profile 232,58 65 72 7F 8C 99,0,Medium
ext_233,Network,Custom Enterprise Extended Type Variation Signature Profile 233,5F 6C 79 86 93 A0 AD,0,High
ext_234,Font,Custom Enterprise Extended Type Variation Signature Profile 234,66 73 80 8D 9A A7 B4 C1,0,Low
ext_235,Security,Custom Enterprise Extended Type Variation Signature Profile 235,6D 7A 87 94,0,Medium
ext_236,Script,Custom Enterprise Extended Type Variation Signature Profile 236,74 81 8E 9B A8,0,High
ext_237,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 237,7B 88 95 A2 AF BC,0,Low
ext_238,Web,Custom Enterprise Extended Type Variation Signature Profile 238,82 8F 9C A9 B6 C3 D0,0,Medium
ext_239,Data,Custom Enterprise Extended Type Variation Signature Profile 239,89 96 A3 B0 BD CA D7 E4,0,High
ext_240,Executable,Custom Enterprise Extended Type Variation Signature Profile 240,90 9D AA B7,0,Low
ext_241,Image,Custom Enterprise Extended Type Variation Signature Profile 241,97 A4 B1 BE CB,0,Medium
ext_242,Audio,Custom Enterprise Extended Type Variation Signature Profile 242,9E AB B8 C5 D2 DF,0,High
ext_243,Video,Custom Enterprise Extended Type Variation Signature Profile 243,A5 B2 BF CC D9 E6 F3,0,Low
ext_244,Document,Custom Enterprise Extended Type Variation Signature Profile 244,AC B9 C6 D3 E0 ED FA 07,0,Medium
ext_245,Archive,Custom Enterprise Extended Type Variation Signature Profile 245,B3 C0 CD DA,257,High
ext_246,System,Custom Enterprise Extended Type Variation Signature Profile 246,BA C7 D4 E1 EE,0,Low
ext_247,Database,Custom Enterprise Extended Type Variation Signature Profile 247,C1 CE DB E8 F5 02,0,Medium
ext_248,Network,Custom Enterprise Extended Type Variation Signature Profile 248,C8 D5 E2 EF FC 09 16,0,High
ext_249,Font,Custom Enterprise Extended Type Variation Signature Profile 249,CF DC E9 F6 03 10 1D 2A,0,Low
ext_250,Security,Custom Enterprise Extended Type Variation Signature Profile 250,D6 E3 F0 FD,0,Medium
ext_251,Script,Custom Enterprise Extended Type Variation Signature Profile 251,DD EA F7 04 11,0,High
ext_252,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 252,E4 F1 FE 0B 18 25,32769,Low
ext_253,Web,Custom Enterprise Extended Type Variation Signature Profile 253,EB F8 05 12 1F 2C 39,0,Medium
ext_254,Data,Custom Enterprise Extended Type Variation Signature Profile 254,F2 FF 0C 19 26 33 40 4D,0,High
ext_255,Executable,Custom Enterprise Extended Type Variation Signature Profile 255,F9 06 13 20,0,Low
ext_256,Image,Custom Enterprise Extended Type Variation Signature Profile 256,00 0D 1A 27 34,0,Medium
ext_257,Audio,Custom Enterprise Extended Type Variation Signature Profile 257,07 14 21 2E 3B 48,0,High
ext_258,Video,Custom Enterprise Extended Type Variation Signature Profile 258,0E 1B 28 35 42 4F 5C,0,Low
ext_259,Document,Custom Enterprise Extended Type Variation Signature Profile 259,15 22 2F 3C 49 56 63 70,0,Medium
ext_260,Archive,Custom Enterprise Extended Type Variation Signature Profile 260,1C 29 36 43,257,High
ext_261,System,Custom Enterprise Extended Type Variation Signature Profile 261,23 30 3D 4A 57,0,Low
ext_262,Database,Custom Enterprise Extended Type Variation Signature Profile 262,2A 37 44 51 5E 6B,0,Medium
ext_263,Network,Custom Enterprise Extended Type Variation Signature Profile 263,31 3E 4B 58 65 72 7F,0,High
ext_264,Font,Custom Enterprise Extended Type Variation Signature Profile 264,38 45 52 5F 6C 79 86 93,0,Low
ext_265,Security,Custom Enterprise Extended Type Variation Signature Profile 265,3F 4C 59 66,0,Medium
ext_266,Script,Custom Enterprise Extended Type Variation Signature Profile 266,46 53 60 6D 7A,0,High
ext_267,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 267,4D 5A 67 74 81 8E,0,Low
ext_268,Web,Custom Enterprise Extended Type Variation Signature Profile 268,54 61 6E 7B 88 95 A2,0,Medium
ext_269,Data,Custom Enterprise Extended Type Variation Signature Profile 269,5B 68 75 82 8F 9C A9 B6,0,High
ext_270,Executable,Custom Enterprise Extended Type Variation Signature Profile 270,62 6F 7C 89,0,Low
ext_271,Image,Custom Enterprise Extended Type Variation Signature Profile 271,69 76 83 90 9D,0,Medium
ext_272,Audio,Custom Enterprise Extended Type Variation Signature Profile 272,70 7D 8A 97 A4 B1,0,High
ext_273,Video,Custom Enterprise Extended Type Variation Signature Profile 273,77 84 91 9E AB B8 C5,0,Low
ext_274,Document,Custom Enterprise Extended Type Variation Signature Profile 274,7E 8B 98 A5 B2 BF CC D9,0,Medium
ext_275,Archive,Custom Enterprise Extended Type Variation Signature Profile 275,85 92 9F AC,257,High
ext_276,System,Custom Enterprise Extended Type Variation Signature Profile 276,8C 99 A6 B3 C0,0,Low
ext_277,Database,Custom Enterprise Extended Type Variation Signature Profile 277,93 A0 AD BA C7 D4,0,Medium
ext_278,Network,Custom Enterprise Extended Type Variation Signature Profile 278,9A A7 B4 C1 CE DB E8,0,High
ext_279,Font,Custom Enterprise Extended Type Variation Signature Profile 279,A1 AE BB C8 D5 E2 EF FC,0,Low
ext_280,Security,Custom Enterprise Extended Type Variation Signature Profile 280,A8 B5 C2 CF,0,Medium
ext_281,Script,Custom Enterprise Extended Type Variation Signature Profile 281,AF BC C9 D6 E3,0,High
ext_282,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 282,B6 C3 D0 DD EA F7,0,Low
ext_283,Web,Custom Enterprise Extended Type Variation Signature Profile 283,BD CA D7 E4 F1 FE 0B,0,Medium
ext_284,Data,Custom Enterprise Extended Type Variation Signature Profile 284,C4 D1 DE EB F8 05 12 1F,0,High
ext_285,Executable,Custom Enterprise Extended Type Variation Signature Profile 285,CB D8 E5 F2,0,Low
ext_286,Image,Custom Enterprise Extended Type Variation Signature Profile 286,D2 DF EC F9 06,0,Medium
ext_287,Audio,Custom Enterprise Extended Type Variation Signature Profile 287,D9 E6 F3 00 0D 1A,0,High
ext_288,Video,Custom Enterprise Extended Type Variation Signature Profile 288,E0 ED FA 07 14 21 2E,0,Low
ext_289,Document,Custom Enterprise Extended Type Variation Signature Profile 289,E7 F4 01 0E 1B 28 35 42,0,Medium
ext_290,Archive,Custom Enterprise Extended Type Variation Signature Profile 290,EE FB 08 15,257,High
ext_291,System,Custom Enterprise Extended Type Variation Signature Profile 291,F5 02 0F 1C 29,0,Low
ext_292,Database,Custom Enterprise Extended Type Variation Signature Profile 292,FC 09 16 23 30 3D,0,Medium
ext_293,Network,Custom Enterprise Extended Type Variation Signature Profile 293,03 10 1D 2A 37 44 51,0,High
ext_294,Font,Custom Enterprise Extended Type Variation Signature Profile 294,0A 17 24 31 3E 4B 58 65,0,Low
ext_295,Security,Custom Enterprise Extended Type Variation Signature Profile 295,11 1E 2B 38,0,Medium
ext_296,Script,Custom Enterprise Extended Type Variation Signature Profile 296,18 25 32 3F 4C,0,High
ext_297,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 297,1F 2C 39 46 53 60,0,Low
ext_298,Web,Custom Enterprise Extended Type Variation Signature Profile 298,26 33 40 4D 5A 67 74,0,Medium
ext_299,Data,Custom Enterprise Extended Type Variation Signature Profile 299,2D 3A 47 54 61 6E 7B 88,0,High
ext_300,Executable,Custom Enterprise Extended Type Variation Signature Profile 300,34 41 4E 5B,0,Low
ext_301,Image,Custom Enterprise Extended Type Variation Signature Profile 301,3B 48 55 62 6F,0,Medium
ext_302,Audio,Custom Enterprise Extended Type Variation Signature Profile 302,42 4F 5C 69 76 83,0,High
ext_303,Video,Custom Enterprise Extended Type Variation Signature Profile 303,49 56 63 70 7D 8A 97,0,Low
ext_304,Document,Custom Enterprise Extended Type Variation Signature Profile 304,50 5D 6A 77 84 91 9E AB,0,Medium
ext_305,Archive,Custom Enterprise Extended Type Variation Signature Profile 305,57 64 71 7E,257,High
ext_306,System,Custom Enterprise Extended Type Variation Signature Profile 306,5E 6B 78 85 92,0,Low
ext_307,Database,Custom Enterprise Extended Type Variation Signature Profile 307,65 72 7F 8C 99 A6,0,Medium
ext_308,Network,Custom Enterprise Extended Type Variation Signature Profile 308,6C 79 86 93 A0 AD BA,0,High
ext_309,Font,Custom Enterprise Extended Type Variation Signature Profile 309,73 80 8D 9A A7 B4 C1 CE,0,Low
ext_310,Security,Custom Enterprise Extended Type Variation Signature Profile 310,7A 87 94 A1,0,Medium
ext_311,Script,Custom Enterprise Extended Type Variation Signature Profile 311,81 8E 9B A8 B5,0,High
ext_312,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 312,88 95 A2 AF BC C9,0,Low
ext_313,Web,Custom Enterprise Extended Type Variation Signature Profile 313,8F 9C A9 B6 C3 D0 DD,0,Medium
ext_314,Data,Custom Enterprise Extended Type Variation Signature Profile 314,96 A3 B0 BD CA D7 E4 F1,0,High
ext_315,Executable,Custom Enterprise Extended Type Variation Signature Profile 315,9D AA B7 C4,0,Low
ext_316,Image,Custom Enterprise Extended Type Variation Signature Profile 316,A4 B1 BE CB D8,0,Medium
ext_317,Audio,Custom Enterprise Extended Type Variation Signature Profile 317,AB B8 C5 D2 DF EC,0,High
ext_318,Video,Custom Enterprise Extended Type Variation Signature Profile 318,B2 BF CC D9 E6 F3 00,0,Low
ext_319,Document,Custom Enterprise Extended Type Variation Signature Profile 319,B9 C6 D3 E0 ED FA 07 14,0,Medium
ext_320,Archive,Custom Enterprise Extended Type Variation Signature Profile 320,C0 CD DA E7,257,High
ext_321,System,Custom Enterprise Extended Type Variation Signature Profile 321,C7 D4 E1 EE FB,0,Low
ext_322,Database,Custom Enterprise Extended Type Variation Signature Profile 322,CE DB E8 F5 02 0F,0,Medium
ext_323,Network,Custom Enterprise Extended Type Variation Signature Profile 323,D5 E2 EF FC 09 16 23,0,High
ext_324,Font,Custom Enterprise Extended Type Variation Signature Profile 324,DC E9 F6 03 10 1D 2A 37,0,Low
ext_325,Security,Custom Enterprise Extended Type Variation Signature Profile 325,E3 F0 FD 0A,0,Medium
ext_326,Script,Custom Enterprise Extended Type Variation Signature Profile 326,EA F7 04 11 1E,0,High
ext_327,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 327,F1 FE 0B 18 25 32,0,Low
ext_328,Web,Custom Enterprise Extended Type Variation Signature Profile 328,F8 05 12 1F 2C 39 46,0,Medium
ext_329,Data,Custom Enterprise Extended Type Variation Signature Profile 329,FF 0C 19 26 33 40 4D 5A,0,High
ext_330,Executable,Custom Enterprise Extended Type Variation Signature Profile 330,06 13 20 2D,0,Low
ext_331,Image,Custom Enterprise Extended Type Variation Signature Profile 331,0D 1A 27 34 41,0,Medium
ext_332,Audio,Custom Enterprise Extended Type Variation Signature Profile 332,14 21 2E 3B 48 55,0,High
ext_333,Video,Custom Enterprise Extended Type Variation Signature Profile 333,1B 28 35 42 4F 5C 69,0,Low
ext_334,Document,Custom Enterprise Extended Type Variation Signature Profile 334,22 2F 3C 49 56 63 70 7D,0,Medium
ext_335,Archive,Custom Enterprise Extended Type Variation Signature Profile 335,29 36 43 50,257,High
ext_336,System,Custom Enterprise Extended Type Variation Signature Profile 336,30 3D 4A 57 64,0,Low
ext_337,Database,Custom Enterprise Extended Type Variation Signature Profile 337,37 44 51 5E 6B 78,0,Medium
ext_338,Network,Custom Enterprise Extended Type Variation Signature Profile 338,3E 4B 58 65 72 7F 8C,0,High
ext_339,Font,Custom Enterprise Extended Type Variation Signature Profile 339,45 52 5F 6C 79 86 93 A0,0,Low
ext_340,Security,Custom Enterprise Extended Type Variation Signature Profile 340,4C 59 66 73,0,Medium
ext_341,Script,Custom Enterprise Extended Type Variation Signature Profile 341,53 60 6D 7A 87,0,High
ext_342,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 342,5A 67 74 81 8E 9B,0,Low
ext_343,Web,Custom Enterprise Extended Type Variation Signature Profile 343,61 6E 7B 88 95 A2 AF,0,Medium
ext_344,Data,Custom Enterprise Extended Type Variation Signature Profile 344,68 75 82 8F 9C A9 B6 C3,0,High
ext_345,Executable,Custom Enterprise Extended Type Variation Signature Profile 345,6F 7C 89 96,0,Low
ext_346,Image,Custom Enterprise Extended Type Variation Signature Profile 346,76 83 90 9D AA,0,Medium
ext_347,Audio,Custom Enterprise Extended Type Variation Signature Profile 347,7D 8A 97 A4 B1 BE,0,High
ext_348,Video,Custom Enterprise Extended Type Variation Signature Profile 348,84 91 9E AB B8 C5 D2,0,Low
ext_349,Document,Custom Enterprise Extended Type Variation Signature Profile 349,8B 98 A5 B2 BF CC D9 E6,0,Medium
ext_350,Archive,Custom Enterprise Extended Type Variation Signature Profile 350,92 9F AC B9,257,High
ext_351,System,Custom Enterprise Extended Type Variation Signature Profile 351,99 A6 B3 C0 CD,0,Low
ext_352,Database,Custom Enterprise Extended Type Variation Signature Profile 352,A0 AD BA C7 D4 E1,0,Medium
ext_353,Network,Custom Enterprise Extended Type Variation Signature Profile 353,A7 B4 C1 CE DB E8 F5,0,High
ext_354,Font,Custom Enterprise Extended Type Variation Signature Profile 354,AE BB C8 D5 E2 EF FC 09,0,Low
ext_355,Security,Custom Enterprise Extended Type Variation Signature Profile 355,B5 C2 CF DC,0,Medium
ext_356,Script,Custom Enterprise Extended Type Variation Signature Profile 356,BC C9 D6 E3 F0,0,High
ext_357,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 357,C3 D0 DD EA F7 04,32769,Low
ext_358,Web,Custom Enterprise Extended Type Variation Signature Profile 358,CA D7 E4 F1 FE 0B 18,0,Medium
ext_359,Data,Custom Enterprise Extended Type Variation Signature Profile 359,D1 DE EB F8 05 12 1F 2C,0,High
ext_360,Executable,Custom Enterprise Extended Type Variation Signature Profile 360,D8 E5 F2 FF,0,Low
ext_361,Image,Custom Enterprise Extended Type Variation Signature Profile 361,DF EC F9 06 13,0,Medium
ext_362,Audio,Custom Enterprise Extended Type Variation Signature Profile 362,E6 F3 00 0D 1A 27,0,High
ext_363,Video,Custom Enterprise Extended Type Variation Signature Profile 363,ED FA 07 14 21 2E 3B,0,Low
ext_364,Document,Custom Enterprise Extended Type Variation Signature Profile 364,F4 01 0E 1B 28 35 42 4F,0,Medium
ext_365,Archive,Custom Enterprise Extended Type Variation Signature Profile 365,FB 08 15 22,257,High
ext_366,System,Custom Enterprise Extended Type Variation Signature Profile 366,02 0F 1C 29 36,0,Low
ext_367,Database,Custom Enterprise Extended Type Variation Signature Profile 367,09 16 23 30 3D 4A,0,Medium
ext_368,Network,Custom Enterprise Extended Type Variation Signature Profile 368,10 1D 2A 37 44 51 5E,0,High
ext_369,Font,Custom Enterprise Extended Type Variation Signature Profile 369,17 24 31 3E 4B 58 65 72,0,Low
ext_370,Security,Custom Enterprise Extended Type Variation Signature Profile 370,1E 2B 38 45,0,Medium
ext_371,Script,Custom Enterprise Extended Type Variation Signature Profile 371,25 32 3F 4C 59,0,High
ext_372,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 372,2C 39 46 53 60 6D,0,Low
ext_373,Web,Custom Enterprise Extended Type Variation Signature Profile 373,33 40 4D 5A 67 74 81,0,Medium
ext_374,Data,Custom Enterprise Extended Type Variation Signature Profile 374,3A 47 54 61 6E 7B 88 95,0,High
ext_375,Executable,Custom Enterprise Extended Type Variation Signature Profile 375,41 4E 5B 68,0,Low
ext_376,Image,Custom Enterprise Extended Type Variation Signature Profile 376,48 55 62 6F 7C,0,Medium
ext_377,Audio,Custom Enterprise Extended Type Variation Signature Profile 377,4F 5C 69 76 83 90,0,High
ext_378,Video,Custom Enterprise Extended Type Variation Signature Profile 378,56 63 70 7D 8A 97 A4,0,Low
ext_379,Document,Custom Enterprise Extended Type Variation Signature Profile 379,5D 6A 77 84 91 9E AB B8,0,Medium
ext_380,Archive,Custom Enterprise Extended Type Variation Signature Profile 380,64 71 7E 8B,257,High
ext_381,System,Custom Enterprise Extended Type Variation Signature Profile 381,6B 78 85 92 9F,0,Low
ext_382,Database,Custom Enterprise Extended Type Variation Signature Profile 382,72 7F 8C 99 A6 B3,0,Medium
ext_383,Network,Custom Enterprise Extended Type Variation Signature Profile 383,79 86 93 A0 AD BA C7,0,High
ext_384,Font,Custom Enterprise Extended Type Variation Signature Profile 384,80 8D 9A A7 B4 C1 CE DB,0,Low
ext_385,Security,Custom Enterprise Extended Type Variation Signature Profile 385,87 94 A1 AE,0,Medium
ext_386,Script,Custom Enterprise Extended Type Variation Signature Profile 386,8E 9B A8 B5 C2,0,High
ext_387,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 387,95 A2 AF BC C9 D6,0,Low
ext_388,Web,Custom Enterprise Extended Type Variation Signature Profile 388,9C A9 B6 C3 D0 DD EA,0,Medium
ext_389,Data,Custom Enterprise Extended Type Variation Signature Profile 389,A3 B0 BD CA D7 E4 F1 FE,0,High
ext_390,Executable,Custom Enterprise Extended Type Variation Signature Profile 390,AA B7 C4 D1,0,Low
ext_391,Image,Custom Enterprise Extended Type Variation Signature Profile 391,B1 BE CB D8 E5,0,Medium
ext_392,Audio,Custom Enterprise Extended Type Variation Signature Profile 392,B8 C5 D2 DF EC F9,0,High
ext_393,Video,Custom Enterprise Extended Type Variation Signature Profile 393,BF CC D9 E6 F3 00 0D,0,Low
ext_394,Document,Custom Enterprise Extended Type Variation Signature Profile 394,C6 D3 E0 ED FA 07 14 21,0,Medium
ext_395,Archive,Custom Enterprise Extended Type Variation Signature Profile 395,CD DA E7 F4,257,High
ext_396,System,Custom Enterprise Extended Type Variation Signature Profile 396,D4 E1 EE FB 08,0,Low
ext_397,Database,Custom Enterprise Extended Type Variation Signature Profile 397,DB E8 F5 02 0F 1C,0,Medium
ext_398,Network,Custom Enterprise Extended Type Variation Signature Profile 398,E2 EF FC 09 16 23 30,0,High
ext_399,Font,Custom Enterprise Extended Type Variation Signature Profile 399,E9 F6 03 10 1D 2A 37 44,0,Low
ext_400,Security,Custom Enterprise Extended Type Variation Signature Profile 400,F0 FD 0A 17,0,Medium
ext_401,Script,Custom Enterprise Extended Type Variation Signature Profile 401,F7 04 11 1E 2B,0,High
ext_402,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 402,FE 0B 18 25 32 3F,0,Low
ext_403,Web,Custom Enterprise Extended Type Variation Signature Profile 403,05 12 1F 2C 39 46 53,0,Medium
ext_404,Data,Custom Enterprise Extended Type Variation Signature Profile 404,0C 19 26 33 40 4D 5A 67,0,High
ext_405,Executable,Custom Enterprise Extended Type Variation Signature Profile 405,13 20 2D 3A,0,Low
ext_406,Image,Custom Enterprise Extended Type Variation Signature Profile 406,1A 27 34 41 4E,0,Medium
ext_407,Audio,Custom Enterprise Extended Type Variation Signature Profile 407,21 2E 3B 48 55 62,0,High
ext_408,Video,Custom Enterprise Extended Type Variation Signature Profile 408,28 35 42 4F 5C 69 76,0,Low
ext_409,Document,Custom Enterprise Extended Type Variation Signature Profile 409,2F 3C 49 56 63 70 7D 8A,0,Medium
ext_410,Archive,Custom Enterprise Extended Type Variation Signature Profile 410,36 43 50 5D,257,High
ext_411,System,Custom Enterprise Extended Type Variation Signature Profile 411,3D 4A 57 64 71,0,Low
ext_412,Database,Custom Enterprise Extended Type Variation Signature Profile 412,44 51 5E 6B 78 85,0,Medium
ext_413,Network,Custom Enterprise Extended Type Variation Signature Profile 413,4B 58 65 72 7F 8C 99,0,High
ext_414,Font,Custom Enterprise Extended Type Variation Signature Profile 414,52 5F 6C 79 86 93 A0 AD,0,Low
ext_415,Security,Custom Enterprise Extended Type Variation Signature Profile 415,59 66 73 80,0,Medium
ext_416,Script,Custom Enterprise Extended Type Variation Signature Profile 416,60 6D 7A 87 94,0,High
ext_417,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 417,67 74 81 8E 9B A8,0,Low
ext_418,Web,Custom Enterprise Extended Type Variation Signature Profile 418,6E 7B 88 95 A2 AF BC,0,Medium
ext_419,Data,Custom Enterprise Extended Type Variation Signature Profile 419,75 82 8F 9C A9 B6 C3 D0,0,High
ext_420,Executable,Custom Enterprise Extended Type Variation Signature Profile 420,7C 89 96 A3,0,Low
ext_421,Image,Custom Enterprise Extended Type Variation Signature Profile 421,83 90 9D AA B7,0,Medium
ext_422,Audio,Custom Enterprise Extended Type Variation Signature Profile 422,8A 97 A4 B1 BE CB,0,High
ext_423,Video,Custom Enterprise Extended Type Variation Signature Profile 423,91 9E AB B8 C5 D2 DF,0,Low
ext_424,Document,Custom Enterprise Extended Type Variation Signature Profile 424,98 A5 B2 BF CC D9 E6 F3,0,Medium
ext_425,Archive,Custom Enterprise Extended Type Variation Signature Profile 425,9F AC B9 C6,257,High
ext_426,System,Custom Enterprise Extended Type Variation Signature Profile 426,A6 B3 C0 CD DA,0,Low
ext_427,Database,Custom Enterprise Extended Type Variation Signature Profile 427,AD BA C7 D4 E1 EE,0,Medium
ext_428,Network,Custom Enterprise Extended Type Variation Signature Profile 428,B4 C1 CE DB E8 F5 02,0,High
ext_429,Font,Custom Enterprise Extended Type Variation Signature Profile 429,BB C8 D5 E2 EF FC 09 16,0,Low
ext_430,Security,Custom Enterprise Extended Type Variation Signature Profile 430,C2 CF DC E9,0,Medium
ext_431,Script,Custom Enterprise Extended Type Variation Signature Profile 431,C9 D6 E3 F0 FD,0,High
ext_432,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 432,D0 DD EA F7 04 11,0,Low
ext_433,Web,Custom Enterprise Extended Type Variation Signature Profile 433,D7 E4 F1 FE 0B 18 25,0,Medium
ext_434,Data,Custom Enterprise Extended Type Variation Signature Profile 434,DE EB F8 05 12 1F 2C 39,0,High
ext_435,Executable,Custom Enterprise Extended Type Variation Signature Profile 435,E5 F2 FF 0C,0,Low
ext_436,Image,Custom Enterprise Extended Type Variation Signature Profile 436,EC F9 06 13 20,0,Medium
ext_437,Audio,Custom Enterprise Extended Type Variation Signature Profile 437,F3 00 0D 1A 27 34,0,High
ext_438,Video,Custom Enterprise Extended Type Variation Signature Profile 438,FA 07 14 21 2E 3B 48,0,Low
ext_439,Document,Custom Enterprise Extended Type Variation Signature Profile 439,01 0E 1B 28 35 42 4F 5C,0,Medium
ext_440,Archive,Custom Enterprise Extended Type Variation Signature Profile 440,08 15 22 2F,257,High
ext_441,System,Custom Enterprise Extended Type Variation Signature Profile 441,0F 1C 29 36 43,0,Low
ext_442,Database,Custom Enterprise Extended Type Variation Signature Profile 442,16 23 30 3D 4A 57,0,Medium
ext_443,Network,Custom Enterprise Extended Type Variation Signature Profile 443,1D 2A 37 44 51 5E 6B,0,High
ext_444,Font,Custom Enterprise Extended Type Variation Signature Profile 444,24 31 3E 4B 58 65 72 7F,0,Low
ext_445,Security,Custom Enterprise Extended Type Variation Signature Profile 445,2B 38 45 52,0,Medium
ext_446,Script,Custom Enterprise Extended Type Variation Signature Profile 446,32 3F 4C 59 66,0,High
ext_447,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 447,39 46 53 60 6D 7A,0,Low
ext_448,Web,Custom Enterprise Extended Type Variation Signature Profile 448,40 4D 5A 67 74 81 8E,0,Medium
ext_449,Data,Custom Enterprise Extended Type Variation Signature Profile 449,47 54 61 6E 7B 88 95 A2,0,High
ext_450,Executable,Custom Enterprise Extended Type Variation Signature Profile 450,4E 5B 68 75,0,Low
ext_451,Image,Custom Enterprise Extended Type Variation Signature Profile 451,55 62 6F 7C 89,0,Medium
ext_452,Audio,Custom Enterprise Extended Type Variation Signature Profile 452,5C 69 76 83 90 9D,0,High
ext_453,Video,Custom Enterprise Extended Type Variation Signature Profile 453,63 70 7D 8A 97 A4 B1,0,Low
ext_454,Document,Custom Enterprise Extended Type Variation Signature Profile 454,6A 77 84 91 9E AB B8 C5,0,Medium
ext_455,Archive,Custom Enterprise Extended Type Variation Signature Profile 455,71 7E 8B 98,257,High
ext_456,System,Custom Enterprise Extended Type Variation Signature Profile 456,78 85 92 9F AC,0,Low
ext_457,Database,Custom Enterprise Extended Type Variation Signature Profile 457,7F 8C 99 A6 B3 C0,0,Medium
ext_458,Network,Custom Enterprise Extended Type Variation Signature Profile 458,86 93 A0 AD BA C7 D4,0,High
ext_459,Font,Custom Enterprise Extended Type Variation Signature Profile 459,8D 9A A7 B4 C1 CE DB E8,0,Low
ext_460,Security,Custom Enterprise Extended Type Variation Signature Profile 460,94 A1 AE BB,0,Medium
ext_461,Script,Custom Enterprise Extended Type Variation Signature Profile 461,9B A8 B5 C2 CF,0,High
ext_462,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 462,A2 AF BC C9 D6 E3,32769,Low
ext_463,Web,Custom Enterprise Extended Type Variation Signature Profile 463,A9 B6 C3 D0 DD EA F7,0,Medium
ext_464,Data,Custom Enterprise Extended Type Variation Signature Profile 464,B0 BD CA D7 E4 F1 FE 0B,0,High
ext_465,Executable,Custom Enterprise Extended Type Variation Signature Profile 465,B7 C4 D1 DE,0,Low
ext_466,Image,Custom Enterprise Extended Type Variation Signature Profile 466,BE CB D8 E5 F2,0,Medium
ext_467,Audio,Custom Enterprise Extended Type Variation Signature Profile 467,C5 D2 DF EC F9 06,0,High
ext_468,Video,Custom Enterprise Extended Type Variation Signature Profile 468,CC D9 E6 F3 00 0D 1A,0,Low
ext_469,Document,Custom Enterprise Extended Type Variation Signature Profile 469,D3 E0 ED FA 07 14 21 2E,0,Medium
ext_470,Archive,Custom Enterprise Extended Type Variation Signature Profile 470,DA E7 F4 01,257,High
ext_471,System,Custom Enterprise Extended Type Variation Signature Profile 471,E1 EE FB 08 15,0,Low
ext_472,Database,Custom Enterprise Extended Type Variation Signature Profile 472,E8 F5 02 0F 1C 29,0,Medium
ext_473,Network,Custom Enterprise Extended Type Variation Signature Profile 473,EF FC 09 16 23 30 3D,0,High
